nome;id;email;matriculas
JOSE;235;jose@email.com.br;2
JOAO;43;joao@mailto.com;1
ANTONIO;304;antonio@mailto.com;2
FRANCISCO;156;francisco@mailto.com;3
CARLOS;343;carlos@mailto.com;1
PAULO;310;paulo@email.com.br;1
PEDRO;55;pedro@email.com.br;2
LUCAS;288;lucas@email.com.br;3
LUIZ;379;luiz@mailto.com;5
MARCOS;92;marcos@mailto.com;1
LUIS;174;luis@email.com.br;2
GABRIEL;218;gabriel@mailto.com;1
RAFAEL;217;rafael@mailto.com;1
DANIEL;34;daniel@email.com.br;1
MARCELO;185;marcelo@email.com.br;1
BRUNO;347;bruno@mailto.com;3
EDUARDO;191;eduardo@mailto.com;3
FELIPE;163;felipe@mailto.com;2
RAIMUNDO;42;raimundo@mailto.com;1
RODRIGO;10;rodrigo@mailto.com;1
MANOEL;200;manoel@email.com.br;5
MATEUS;287;mateus@email.com.br;1
ANDRE;80;andre@mailto.com;2
FERNANDO;173;fernando@email.com.br;1
FABIO;16;fabio@email.com.br;2
LEONARDO;49;leonardo@email.com.br;2
GUSTAVO;12;gustavo@mailto.com;1
GUILHERME;240;guilherme@mailto.com;1
LEANDRO;242;leandro@mailto.com;1
TIAGO;328;tiago@email.com.br;5
ANDERSON;172;anderson@mailto.com;1
RICARDO;103;ricardo@mailto.com;1
MARCIO;284;marcio@email.com.br;3
JORGE;192;jorge@email.com.br;3
SEBASTIAO;350;sebastiao@email.com.br;2
ALEXANDRE;262;alexandre@email.com.br;4
ROBERTO;338;roberto@email.com.br;1
EDSON;333;edson@email.com.br;1
DIEGO;76;diego@mailto.com;1
VITOR;297;vitor@email.com.br;2
SERGIO;238;sergio@mailto.com;4
CLAUDIO;296;claudio@mailto.com;2
MATHEUS;268;matheus@mailto.com;1
THIAGO;158;thiago@mailto.com;2
GERALDO;259;geraldo@email.com.br;2
ADRIANO;37;adriano@mailto.com;1
LUCIANO;358;luciano@mailto.com;3
JULIO;241;julio@email.com.br;4
RENATO;391;renato@mailto.com;1
ALEX;249;alex@email.com.br;1
VINICIUS;27;vinicius@email.com.br;2
ROGERIO;102;rogerio@mailto.com;6
SAMUEL;276;samuel@email.com.br;2
RONALDO;233;ronaldo@email.com.br;3
MARIO;281;mario@email.com.br;3
FLAVIO;25;flavio@email.com.br;5
DOUGLAS;14;douglas@email.com.br;3
IGOR;303;igor@mailto.com;1
DAVI;193;davi@mailto.com;1
MANUEL;83;manuel@email.com.br;1
JEFERSON;32;jeferson@mailto.com;1
CICERO;21;cicero@email.com.br;1
VICTOR;60;victor@mailto.com;5
MIGUEL;228;miguel@mailto.com;5
ROBSON;396;robson@mailto.com;1
MAURICIO;278;mauricio@mailto.com;1
DANILO;122;danilo@mailto.com;3
HENRIQUE;212;henrique@email.com.br;2
CAIO;108;caio@email.com.br;1
REGINALDO;151;reginaldo@mailto.com;1
JOAQUIM;73;joaquim@email.com.br;1
BENEDITO;265;benedito@email.com.br;7
GILBERTO;232;gilberto@mailto.com;1
MARCO;53;marco@email.com.br;3
ALAN;246;alan@email.com.br;5
NELSON;180;nelson@mailto.com;2
CRISTIANO;203;cristiano@mailto.com;1
ELIAS;324;elias@mailto.com;2
WILSON;115;wilson@email.com.br;1
VALDIR;329;valdir@email.com.br;4
EMERSON;179;emerson@mailto.com;2
LUAN;253;luan@email.com.br;5
DAVID;7;david@mailto.com;1
RENAN;275;renan@email.com.br;1
SEVERINO;126;severino@email.com.br;2
FABRICIO;221;fabricio@email.com.br;1
MAURO;381;mauro@mailto.com;2
JONAS;273;jonas@mailto.com;2
GILMAR;96;gilmar@mailto.com;1
JEAN;166;jean@mailto.com;1
FABIANO;213;fabiano@email.com.br;3
WESLEY;367;wesley@mailto.com;1
DIOGO;377;diogo@email.com.br;6
ADILSON;372;adilson@mailto.com;4
JAIR;1;jair@email.com.br;1
ALESSANDRO;292;alessandro@email.com.br;3
EVERTON;211;everton@email.com.br;2
OSVALDO;201;osvaldo@mailto.com;1
GILSON;148;gilson@email.com.br;5
WILLIAN;39;willian@mailto.com;3
JOEL;171;joel@mailto.com;3
SILVIO;298;silvio@mailto.com;4
HELIO;149;helio@email.com.br;4
MAICON;145;maicon@email.com.br;1
REINALDO;13;reinaldo@mailto.com;5
PABLO;371;pablo@email.com.br;1
ARTUR;342;artur@mailto.com;4
VAGNER;56;vagner@email.com.br;1
VALTER;31;valter@mailto.com;3
CELSO;300;celso@mailto.com;1
IVAN;22;ivan@mailto.com;3
CLEITON;121;cleiton@mailto.com;3
VANDERLEI;161;vanderlei@email.com.br;1
VICENTE;143;vicente@mailto.com;4
ARTHUR;380;arthur@email.com.br;3
MILTON;94;milton@email.com.br;2
DOMINGOS;261;domingos@email.com.br;2
WAGNER;189;wagner@mailto.com;1
SANDRO;285;sandro@email.com.br;1
MOISES;190;moises@mailto.com;1
EDILSON;178;edilson@email.com.br;2
ADEMIR;106;ademir@mailto.com;3
ADAO;6;adao@mailto.com;2
EVANDRO;289;evandro@email.com.br;1
CESAR;280;cesar@email.com.br;3
VALMIR;20;valmir@mailto.com;3
MURILO;30;murilo@email.com.br;1
JULIANO;79;juliano@email.com.br;3
EDVALDO;357;edvaldo@mailto.com;4
AILTON;135;ailton@mailto.com;2
JUNIOR;197;junior@mailto.com;1
BRENO;370;breno@mailto.com;1
NICOLAS;72;nicolas@mailto.com;3
RUAN;95;ruan@email.com.br;1
ALBERTO;274;alberto@email.com.br;1
RUBENS;387;rubens@mailto.com;1
NILTON;36;nilton@mailto.com;4
AUGUSTO;129;augusto@mailto.com;1
CLEBER;75;cleber@email.com.br;4
OSMAR;54;osmar@mailto.com;1
NILSON;23;nilson@email.com.br;3
ORLANDO;325;orlando@mailto.com;2
HUGO;286;hugo@mailto.com;2
OTAVIO;301;otavio@email.com.br;1
VINICIOS;91;vinicios@email.com.br;2
ITALO;316;italo@email.com.br;1
WILIAN;352;wilian@email.com.br;1
ALISSON;397;alisson@email.com.br;3
APARECIDO;334;aparecido@mailto.com;2
ISRAEL;399;israel@email.com.br;2
EDMILSON;176;edmilson@email.com.br;4
JOSUE;5;josue@mailto.com;1
GERSON;160;gerson@email.com.br;1
